ID,Age_Mo
1020,45
1021,45
1022,44
1024,43
1025,43
1027,41
1028,41
1030,51
1031,51
1032,47
1040,49
1041,43
1042,43
1043,42
1044,40
2110,60
2111,59
2114,57
2115,56
2117,63
2119,61
2122,55
2123,55
2124,54
2125,52
2127,56
3234,64
