SLA_Type,SLA_Setting,SLA_Foil
IDS,1,ADS
ADS,1,PDS
PDS,1,FDS
FDS,1,IDS
IDS,2,PDS
ADS,2,FDS
PDS,2,IDS
FDS,2,ADS
IDS,3,FDS
ADS,3,IDS
PDS,3,ADS
FDS,3,PDS
